variant,family,size,nodes,ranks,threads_per_rank,total_cores,gpus,n_runs,wall_median,fom_median,rel_stddev_pct,serial_wall,speedup_vs_serial
hybrid,CPU,easy,1,2,16,32,0,3,2.89783,3.4508580558555884,1.6031935704424556,76.2821,26.32386993025816
hybrid,CPU,easy,1,4,8,32,0,3,2.84833,3.5108291525209507,0.1799663260531235,76.2821,26.781342049551846
hybrid,CPU,easy,1,8,4,32,0,3,2.84112,3.5197386945993125,0.602356258494212,76.2821,26.849305907529423
hybrid,CPU,easy,1,16,2,32,0,3,2.78838,3.586311765254377,0.26262831469577824,76.2821,27.35713927083109
hybrid,CPU,hard,1,2,16,32,0,3,26.3551,1.5177328107273356,0.5506150164291866,623.313,23.650564786322192
hybrid,CPU,hard,1,4,8,32,0,3,25.6209,1.561225405821029,0.8971796059187079,623.313,24.328302284463074
hybrid,CPU,hard,1,8,4,32,0,3,25.0344,1.5978014252388713,0.5290695968066621,623.313,24.898259994247912
hybrid,CPU,hard,1,16,2,32,0,3,24.2574,1.6489813417761177,0.3621289207207641,623.313,25.695787677162432
hybrid,CPU,medium,1,2,16,32,0,3,13.0975,1.9545714831074632,0.5022770610374623,318.096,24.286772284787173
hybrid,CPU,medium,1,4,8,32,0,3,12.7377,2.0097819857588104,0.08043563188987554,318.096,24.972797286794318
hybrid,CPU,medium,1,8,4,32,0,3,12.4317,2.0592517515705815,0.3583617549024886,318.096,25.58749004560921
hybrid,CPU,medium,1,16,2,32,0,3,12.0876,2.1178728614447864,1.0646649208297554,318.096,26.315893973989873
hybrid_2node,CPU,hard,2,8,8,64,0,3,13.2671,3.0149768977395213,0.9765567301653523,623.313,46.98185737651785
hybrid_2node,CPU,hard,2,16,4,64,0,3,12.4506,3.2126965768717977,0.4946446501791138,623.313,50.06288853549226
hybrid_2node,CPU,hard,2,32,2,64,0,3,12.225,3.2719836400817996,2.585836452023852,623.313,50.986748466257666
hybrid_2node,CPU,medium,2,8,8,64,0,3,6.59719,3.8804400055175003,0.15506804553352294,318.096,48.21689234355839
hybrid_2node,CPU,medium,2,16,4,64,0,3,6.32867,4.045083722172273,0.7905198779477584,318.096,50.262693425316854
hybrid_2node,CPU,medium,2,32,2,64,0,3,6.1035,4.194314737445728,0.9566832613873141,318.096,52.11698205947407
mpi,CPU,easy,1,1,1,1,0,3,76.3157,0.13103463638543575,0.14292707703970903,76.2821,0.9995597236217448
mpi,CPU,easy,1,2,1,2,0,3,37.6302,0.2657440034865613,0.20771884749724867,76.2821,2.0271510648362217
mpi,CPU,easy,1,4,1,4,0,3,18.9758,0.5269870045004691,0.1896350367044233,76.2821,4.019967537600523
mpi,CPU,easy,1,8,1,8,0,3,9.74599,1.0260630269474933,0.1539906398179955,76.2821,7.827024242791137
mpi,CPU,easy,1,16,1,16,0,3,5.03826,1.9848122169161575,0.04275738846639873,76.2821,15.140564401202
mpi,CPU,easy,1,32,1,32,0,3,2.67515,3.7381081434685903,1.9243605361809022,76.2821,28.515073921088536
mpi,CPU,hard,1,2,1,2,0,3,309.616,0.1291922898041445,0.01775610828598521,623.313,2.0131808433672678
mpi,CPU,hard,1,4,1,4,0,3,156.637,0.25536750576172934,0.04754827066749688,623.313,3.97934715297152
mpi,CPU,hard,1,8,1,8,0,3,79.686,0.5019702331651733,0.03495915760800018,623.313,7.822114298622091
mpi,CPU,hard,1,16,1,16,0,3,41.4779,0.964368977214372,0.08425900880061543,623.313,15.027593007360547
mpi,CPU,hard,1,32,1,32,0,3,22.4958,1.778109691586874,0.5090024046798887,623.313,27.70797215480223
mpi,CPU,medium,1,1,1,1,0,3,317.837,0.0805444300065757,0.19314285844523538,318.096,1.0008148831004573
mpi,CPU,medium,1,2,1,2,0,3,158.065,0.16195868788156773,0.16563744032782343,318.096,2.012437921108405
mpi,CPU,medium,1,4,1,4,0,3,80.4237,0.3183141287953675,0.18917278035387475,318.096,3.955251996612939
mpi,CPU,medium,1,8,1,8,0,3,40.9176,0.6256476430680197,0.022850911498173757,318.096,7.774062994897061
mpi,CPU,medium,1,16,1,16,0,3,21.1475,1.210544981676321,0.19329707967160806,318.096,15.041777987941837
mpi,CPU,medium,1,32,1,32,0,3,11.2675,2.272021300199689,0.6376056033872594,318.096,28.231284668293764
mpi_2node,CPU,easy,2,32,1,32,0,3,2.62615,3.807855606115416,0.9212027788329282,76.2821,29.04712221312568
mpi_2node,CPU,easy,2,64,1,64,0,3,1.43153,6.985532961237277,0.4447159120740354,76.2821,53.28711239023981
mpi_2node,CPU,hard,2,32,1,32,0,3,20.8898,1.9148100987084606,0.11608610249348478,623.313,29.838150676406666
mpi_2node,CPU,hard,2,64,1,64,0,3,11.2296,3.562014675500463,0.3745878041229564,623.313,55.50625133575551
mpi_2node,CPU,medium,2,32,1,32,0,3,10.6132,2.4120906041533186,0.1419362179716264,318.096,29.971733313232576
mpi_2node,CPU,medium,2,64,1,64,0,3,5.58108,4.586925827975947,0.6014630447600608,318.096,56.99542024124363
openacc,GPU,easy,1,1,1,1,1,3,0.368592,27.13026869818119,0.13091369064073496,76.2821,206.95538698615272
openacc,GPU,easy,1,2,1,2,2,3,0.672723,14.864959277444061,0.3469595602528085,76.2821,113.39303100979156
openacc,GPU,easy,1,4,1,4,4,3,0.844441,11.842153566679022,0.050944250956496656,76.2821,90.33443425887658
openacc,GPU,easy,1,8,1,8,8,3,1.2706,7.870297497245397,0.5926006512810914,76.2821,60.0362820714623
openacc,GPU,hard,1,1,1,1,1,3,2.68537,14.895526501003587,0.016378024826446735,623.313,232.11438274800122
openacc,GPU,hard,1,2,1,2,2,3,3.56405,11.223187104558017,0.17867822619496998,623.313,174.88896059258428
openacc,GPU,hard,1,4,1,4,4,3,3.75582,10.650137653029166,0.3734626019202632,623.313,165.9592312730642
openacc,GPU,hard,1,8,1,8,8,3,4.80637,8.322288962356206,0.10563209583608679,623.313,129.68477249982834
openacc,GPU,medium,1,1,1,1,1,3,1.40703,18.19435264351151,0.025850953397541607,318.096,226.07620306603272
openacc,GPU,medium,1,2,1,2,2,3,1.91403,13.374920978250081,0.08405619978081239,318.096,166.19175248036865
openacc,GPU,medium,1,4,1,4,4,3,2.23913,11.43301192874018,0.21995380380660806,318.096,142.0623188470522
openacc,GPU,medium,1,8,1,8,8,3,3.02897,8.45171791070892,0.23041212291319166,318.096,105.01787736425253
openacc_2node,GPU,hard,2,8,1,8,8,3,2.25529,17.73607828704956,0.342931021887882,623.313,276.378204133393
openacc_2node,GPU,hard,2,16,1,16,16,3,3.02745,13.21243951180036,0.36355857596477514,623.313,205.88713273547043
openacc_2node,GPU,medium,2,8,1,8,8,3,1.40538,18.215713899443568,0.7059277700505356,318.096,226.34163002177345
openacc_2node,GPU,medium,2,16,1,16,16,3,1.94965,13.130561895724872,0.11490195697597376,318.096,163.15543815556637
openmp,CPU,easy,1,1,1,1,0,3,82.0265,0.1219118211797407,0.4292652391100664,76.2821,0.9299689734415097
openmp,CPU,easy,1,1,2,2,0,3,41.5286,0.24079790794777575,0.46696447282636827,76.2821,1.8368570093863026
openmp,CPU,easy,1,1,4,4,0,3,21.0884,0.474194343809867,0.14660429643210776,76.2821,3.6172540353938656
openmp,CPU,easy,1,1,8,8,0,3,10.7587,0.9294803275488674,0.08534195272194804,76.2821,7.090271129411547
openmp,CPU,easy,1,1,16,16,0,3,5.81338,1.7201696775369921,0.15065940268151576,76.2821,13.121815535884458
openmp,CPU,easy,1,1,32,32,0,3,3.10195,3.223778590886378,0.9099915747244941,76.2821,24.591660084785378
openmp,CPU,hard,1,1,2,2,0,3,335.467,0.11923676546426326,0.07339621818131062,623.313,1.8580456497956581
openmp,CPU,hard,1,1,4,4,0,3,171.438,0.23332050070579452,0.15386369613402104,623.313,3.6357925314107726
openmp,CPU,hard,1,1,8,8,0,3,89.4401,0.4472266913833951,0.04995898654467084,623.313,6.969055267156454
openmp,CPU,hard,1,1,16,16,0,3,51.835,0.7716793672229189,0.20061941416966672,623.313,12.02494453554548
openmp,CPU,hard,1,1,32,32,0,3,28.3903,1.4089319239317655,0.793896128285745,623.313,21.955139607542012
openmp,CPU,medium,1,1,1,1,0,2,339.74850000000004,0.07534985882056541,0.03434087829550826,318.096,0.9362690343003721
